gene_name	array_data_file_names	composite_element_ref	protein_name
NAPSA	Napsin-A-R-E_GBL9022163.txt	Napsin-A-R-E	Napsin-A
NFKB1	NF-kB-p65_pS536-R-C_GBL9022243.txt	NF-kB-p65_pS536-R-C	NF-kB-p65_pS536
NF2	NF2-R-C_GBL9022244.txt	NF2-R-C	NF2
NOTCH1	Notch1-R-V_GBL9022245.txt	Notch1-R-V	Notch1
NFE2L2	Nrf2-R-C_GBL9022138.txt	Nrf2-R-C	Nrf2
CDH3	P-Cadherin-R-C_GBL9022190.txt	P-Cadherin-R-C	P-Cadherin
CDKN2A	p16_INK4a-R-C_GBL9022139.txt	p16_INK4a-R-C	p16_INK4a
CDKN1B	p27-R-V_GBL9022248.txt	p27-R-V	p27
CDKN1B	p27_pT157-R-C_GBL9022379.txt	p27_pT157-R-C	p27_pT157
CDKN1B	p27_pT198-R-V_GBL9022380.txt	p27_pT198-R-V	p27_pT198
MAPK14	p38_MAPK-R-C_GBL9022251.txt	p38_MAPK-R-C	p38_MAPK
MAPK14	p38_pT180_Y182-R-V_GBL9022252.txt	p38_pT180_Y182-R-V	p38_pT180_Y182
TP53	p53-R-V_GBL9022381.txt	p53-R-V	p53
TP63	p63-R-E_GBL9022164.txt	p63-R-E	p63
RPS6KB1	p70S6K-R-V_GBL9022254.txt	p70S6K-R-V	p70S6K
RPS6KB1	p70S6K_pT389-R-V_GBL9022257.txt	p70S6K_pT389-R-V	p70S6K_pT389
RPS6KA1	p90RSK_pT359_S363-R-C_GBL9022258.txt	p90RSK_pT359_S363-R-C	p90RSK_pT359_S363
SERPINE1	PAI-1-M-C_GBL9022341.txt	PAI-1-M-C	PAI-1
PARP1	PARP-Ab-3-R-C_GBL9022140.txt	PARP-Ab-3-R-C	PARP-Ab-3
PXN	Paxillin-R-V_GBL9022259.txt	Paxillin-R-V	Paxillin
PCNA	PCNA-M-V_GBL9022318.txt	PCNA-M-V	PCNA
PDK1	PDK1_pS241-R-V_GBL9022260.txt	PDK1_pS241-R-V	PDK1_pS241
PEA15	Pea-15-R-V_GBL9022354.txt	Pea-15-R-V	Pea-15
PIK3CA	PI3K-p110-alpha-R-C_GBL9022261.txt	PI3K-p110-alpha-R-C	PI3K-p110-alpha
PIK3R1 PIK3R2	PI3K-p85-R-V_GBL9022262.txt	PI3K-p85-R-V	PI3K-p85
PRKCA	PKC-alpha-M-V_GBL9022319.txt	PKC-alpha-M-V	PKC-alpha
PRKCA	PKC-alpha_pS657-R-V_GBL9022263.txt	PKC-alpha_pS657-R-V	PKC-alpha_pS657
PRKCD	PKC-delta_pS664-R-V_GBL9022355.txt	PKC-delta_pS664-R-V	PKC-delta_pS664
PGR	PR-R-V_GBL9022264.txt	PR-R-V	PR
AKT1S1	PRAS40_pT246-R-V_GBL9022265.txt	PRAS40_pT246-R-V	PRAS40_pT246
PTEN	PTEN-R-V_GBL9022267.txt	PTEN-R-V	PTEN
RAB11A RAB11B	Rab11-R-V_GBL9022268.txt	Rab11-R-V	Rab11
RAD50	Rad50-M-C_GBL9022320.txt	Rad50-M-C	Rad50
RB1	Rb_pS807_S811-R-V_GBL9022274.txt	Rb_pS807_S811-R-V	Rb_pS807_S811
RET	Ret_pY905-R-E_GBL9022389.txt	Ret_pY905-R-E	Ret_pY905
RPS6	S6-R-C_GBL9022356.txt	S6-R-C	S6
RPS6	S6_pS235_S236-R-V_GBL9022275.txt	S6_pS235_S236-R-V	S6_pS235_S236
RPS6	S6_pS240_S244-R-V_GBL9022129.txt	S6_pS240_S244-R-V	S6_pS240_S244
SHC1	Shc_pY317-R-C_GBL9022359.txt	Shc_pY317-R-C	Shc_pY317
SMAD1	Smad1-R-V_GBL9022278.txt	Smad1-R-V	Smad1
SMAD3	Smad3-R-V_GBL9022279.txt	Smad3-R-V	Smad3
SMAD4	Smad4-M-V_GBL9022325.txt	Smad4-M-V	Smad4
SRC	Src-M-V_GBL9022327.txt	Src-M-V	Src
SRC	Src_pY416-R-C_GBL9022280.txt	Src_pY416-R-C	Src_pY416
SRC	Src_pY527-R-V_GBL9022281.txt	Src_pY527-R-V	Src_pY527
STAT3	STAT3_pY705-R-V_GBL9022282.txt	STAT3_pY705-R-V	STAT3_pY705
STAT5A	STAT5-alpha-R-V_GBL9022283.txt	STAT5-alpha-R-V	STAT5-alpha
STMN1	Stathmin-R-V_GBL9022284.txt	Stathmin-R-V	Stathmin
SYK	Syk-M-V_GBL9022328.txt	Syk-M-V	Syk
SYP	Synaptophysin-R-E_GBL9022390.txt	Synaptophysin-R-E	Synaptophysin
WWTR1	TAZ-R-C_GBL9022360.txt	TAZ-R-C	TAZ
TYMS	Thymidilate-Synthase-M-C_GBL9022141.txt	Thymidilate-Synthase-M-C	Thymidilate-Synthase
C12ORF5	TIGAR-R-V_GBL9022383.txt	TIGAR-R-V	TIGAR
TGM2	Transglutaminase-M-V_GBL9022342.txt	Transglutaminase-M-V	Transglutaminase
TTF1	TTF1-R-V_GBL9022382.txt	TTF1-R-V	TTF1
TSC2	Tuberin-R-C_GBL9022290.txt	Tuberin-R-C	Tuberin
KDR	VEGFR2-R-V_GBL9022292.txt	VEGFR2-R-V	VEGFR2
XBP1	XBP1-G-C_GBL9022332.txt	XBP1-G-C	XBP1
XRCC1	XRCC1-R-C_GBL9022127.txt	XRCC1-R-C	XRCC1
YAP1	YAP_pS127-R-C_GBL9022300.txt	YAP_pS127-R-C	YAP_pS127
YBX1	YB-1-R-V_GBL9022333.txt	YB-1-R-V	YB-1
YBX1	YB-1_pS102-R-V_GBL9022334.txt	YB-1_pS102-R-V	YB-1_pS102
